id;név;nemzetiség;születési hely;születési idő
1;Lester McCalebb;MKD;New Orleans (Estados Unidos);1985-05-04
2;Luis Casimiro Palomo Cárdenas;ESP;Villamayor Calatrava (C.Real);
3;Kyle Matthew Kuric;SVQ;Evansville (Indiana);1989-08-25
4;Oriol Paulí Fornells;ESP;Girona;1994-05-20
5;Anzejs Pasecniks;LVA;Riga;1995-12-20
6;Royce Khalil O'Neale;USA;Killeen (Texas, EE.UU.);1993-06-05
7;Venard Richard Hendrix;MKD;Athens (Alabama);1986-11-15
8;Eulis Rafael Báez Benjamín;ESP;Santo Domingo;1982-03-18
9;Albert Oliver Campos;ESP;Terrassa (Barcelona);1978-06-04
10;Xavier Rabaseda Bertrán;ESP;Ripoll (Girona);1989-02-24
11;Darko Planinic;HRV;Mostar;1990-11-22
12;Pablo Aguilar Bermúdez;ESP;Granada;1989-02-09
13;Sasu Antreas Salin;FIN;Helsinki;1991-06-11
14;Georgios Bogris;GRC;Atenas;1989-02-19
15;Davin Edward White;USA;Phoenix;1981-12-31
16;Timothy James Abromaitis;USA;Waterbury, Connecticut;1989-09-17
17;Ferran Bassas Navarra;ESP;Barcelona;1992-04-29
18;Jesús Vidorreta Gómez;ESP;Bilbao;
19;Nicolás Richotti;ITA;Bahía Blanca;1986-10-17
20;Aaron Doornekamp;NLD;Richmond;1985-12-05
21;Marius Grigonis;LTU;Kaunas, Lituania;1994-04-26
22;Francisco Vázquez González;ESP;Chantada (Lugo);1983-05-01
23;Mamadou Ndiaye Niang;SEN;Thies;1994-01-01
24;Rodrigo San Miguel de la Iglesia;ESP;Zaragoza;1985-01-21
25;Javier Beirán Amigo;ESP;Madrid;1987-05-22
26;William Joseph Hanley;IRL;New Canaan (Connecticut);1990-03-12
27;Jamar Wilson;FIN;New York;1984-02-22
28;Ali Traoré;FRA;Abidjan (Costa de Marfil);1985-02-28
29;Jaime Fernández Bernabé;ESP;Madrid;1993-06-04
30;Omar Sharif Cook;MNE;Brooklyn NY;1982-01-28
31;Darío Brizuela Arrieta;ESP;San Sebastián;1994-11-08
32;Goran Suton;HRV;Sarajevo;1985-08-11
33;Dylan Page;USA;Amherst (Wisonsin, EE.UU.);1982-03-28
34;Salvador Maldonado Ruiz;ESP;Barcelona;
35;Sitapha Alfred Savané Sagna;ESP;Dakar;1978-08-20
36;Jordi Grimau Gragera;ESP;Barcelona;1983-06-17
37;Edwin Pierre Jackson;FRA;Pau;1989-09-18
38;Bernat Vanaclocha Sánchez;ESP;Madrid;1998-04-16
39;Edgar Vicedo Ayala;ESP;Madrid;1994-08-24
40;Zan Tabak;HRV;Split;1970-06-15
41;Trent Lockett;USA;Golden Valley (Minnesota, EE.UU.);1990-12-10
42;Kenny Fred Chery;CAN;Montreal;1992-01-24
43;Emanuel Ion Cate;ROU;Bucarest;1997-07-30
44;Juan José Triguero Estruch;ESP;Gandía;1983-12-23
45;Alfonso Sánchez Delgado;ESP;Jaén;1987-02-14
46;Domen Lorbek;SVN;Kranj;1985-03-06
47;Nikola Radicevic;SRB;Cacak;1994-04-25
48;Bostjan Nachbar;SVN;Slovenj Gradec;1980-07-03
49;Tomeu Rigo Gual;ESP;Campos;1997-05-05
50;Vojdan Stojanovski;MKD;Skopje;1987-12-09
51;Strahinja Milosevic;SRB;Novi Sad, Serbia;1985-09-25
52;Luka Zoric;HRV;Zadar;1984-11-05
53;Pablo Laso Biurrún;ESP;Vitoria;
54;Anthony Erwin Randolph;USA;Würzburg (Alemania);1989-07-15
55;Tegba Othello Hunter;LBR;Winston Salem (North Carolina, EE.UU.);1986-05-28
56;Gustavo Alfonso Ayón Aguirre;MEX;Tepic;1985-04-01
57;Sergio Llull Meliá;ESP;Maó (Menorca);1987-11-15
58;Jonas Maciulis;LTU;Kaunas (Lituania);1985-02-10
59;Rodolfo Fernández Farrés;ESP;Palma de Mallorca;1985-04-04
60;Dontaye Dominic Draper;HRV;Baltimore (Maryland, EE.UU.);1984-08-10
61;Luka Doncic;SVN;Liubliana;1999-02-28
62;Andrés Marcelo Nocioni;ITA;Santa Fe;1979-11-30
63;Jeffery Taylor;SWE;Hedvig;1989-03-23
64;Jaycee Don Carroll;AZE;Laramie (Wyoming);1983-04-16
65;Felipe Reyes Cabanas;ESP;Córdoba;1980-03-16
66;Joan Plaza Durán;ESP;Barcelona;
67;Jeffrey Brooks;ITA;Louisville;1989-06-12
68;Nemanja Nedovic;SRB;Nova Varos;1991-06-16
69;Juan José García Rodríguez;ESP;Santo Domingo;1989-04-22
70;Jamar Desean Smith;USA;Peoria (Illinois, EE.UU.);1987-04-07
